# gunzip -c exp/tri2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 14:05:20 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 50.6488549618% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 55.4678247138% of the time at utterance end.  This may not be optimal.
Overall, e_E accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.3,28) frames.
Overall, aa_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,30) frames.
Overall, k_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,13) frames.
Overall, kk_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, ii_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.3,36) frames.
Overall, i_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.2,25) frames.
Overall, ei_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,15.6,58) frames.
Overall, ɑ_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,21) frames.
Overall, aa_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,20) frames.
Overall, p_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,12) frames.
Overall, n_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,15) frames.
Overall, i_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,18) frames.
Overall, s_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,20) frames.
Overall, pp_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,13) frames.
Overall, ii_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,17) frames.
Overall, nn_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.5,32) frames.
Overall, ʁ_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,12) frames.
Overall, ɛ_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.4,20) frames.
Overall, nn_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,21) frames.
Overall, SPN_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (21,26.0,71) frames.
Overall, ɑ_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,18) frames.
Overall, t_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,14) frames.
Overall, t_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
Overall, ll_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
Overall, ou_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.3,30) frames.
Overall, ss_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,20) frames.
Overall, ai_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,21) frames.
Overall, ɛ_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.2,29) frames.
Overall, ai_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.8,29) frames.
Overall, mm_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.4,28) frames.
Overall, ɑ̃_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,17) frames.
Overall, rr_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.0,24) frames.
Overall, m_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,14) frames.
Overall, d_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,15) frames.
Overall, l_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.9,24) frames.
Overall, ww_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,16) frames.
Overall, tt_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,17) frames.
Overall, u_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,10) frames.
Overall, ll_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,10) frames.
Overall, au_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,18) frames.
Overall, ɔ_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,13) frames.
Overall, e_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,18) frames.
Overall, dd_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,15) frames.
Overall, tt_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, an_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.7,23) frames.
Overall, ei_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (33,37.8,96) frames.
Overall, l_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.4,28) frames.
Overall, ei_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.2,41) frames.
Overall, s_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.7,18) frames.
Overall, z_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,20) frames.
Overall, n_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,11) frames.
Overall, ou_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.8,21) frames.
Overall, yy_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,17) frames.
Overall, an_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.1,34) frames.
